gpu_name,url,graphics_processor.gpu_name,graphics_processor.gpu_variant,graphics_processor.architecture,graphics_processor.foundry,graphics_processor.process_size,graphics_processor.transistors,graphics_processor.die_size,graphics_card.release_date,graphics_card.availability,graphics_card.generation,graphics_card.predecessor,graphics_card.successor,graphics_card.production,graphics_card.launch_price,graphics_card.current_price,graphics_card.bus_interface,graphics_card.reviews,clock_speeds.base_clock,clock_speeds.boost_clock,clock_speeds.soc_clock,clock_speeds.uvd_clock,clock_speeds.memory_clock,memory.memory_size,memory.memory_type,memory.memory_bus,memory.bandwidth,render_config.shading_units,render_config.tmus,render_config.rops,render_config.compute_units,render_config.rt_cores,render_config.l0_cache,render_config.l1_cache,render_config.l2_cache,render_config.l3_cache,theoretical_performance.pixel_rate,theoretical_performance.texture_rate,theoretical_performance.fp16_(half)_performance,theoretical_performance.fp32_(float)_performance,theoretical_performance.fp64_(double)_performance,board_design.slot_width,board_design.length,board_design.width,board_design.height,board_design.tdp,board_design.suggested_psu,board_design.outputs,board_design.power_connectors,board_design.part_number,board_design.board_number,graphics_features.directx,graphics_features.opengl,graphics_features.opencl,graphics_features.vulkan,graphics_features.pixel_shader,graphics_features.vertex_shader
NVIDIA GRID K100,https://www.techpowerup.com/gpu-specs/grid-k100.c2486,GK107,,Kepler,TSMC,28 nm,"1,270 million",118 mm²,"Jun 28th, 2013",,"GRID
(K1)",,,End-of-life,63 USD,,PCIe 3.0 x16,,,,,,"891 MHz
										
					1782 Mbps effective",256 MB,DDR3,128 bit,28.51 GB/s,192,16,16,,,,16 KB (per SMX),256 KB,,3.400 GPixel/s,13.60 GTexel/s,,326.4 GFLOPS,13.60 GFLOPS (1:24),Dual-slot,,,,130 W,300 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K140Q,https://www.techpowerup.com/gpu-specs/grid-k140q.c2485,GK107,,Kepler,TSMC,28 nm,"1,270 million",118 mm²,"Jun 28th, 2013",,"GRID
(K1)",,,End-of-life,125 USD,,PCIe 3.0 x16,,,,,,"891 MHz
										
					1782 Mbps effective",1024 MB,DDR3,128 bit,28.51 GB/s,192,16,16,,,,16 KB (per SMX),256 KB,,3.400 GPixel/s,13.60 GTexel/s,,326.4 GFLOPS,13.60 GFLOPS (1:24),IGP,,,,130 W,300 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K160Q,https://www.techpowerup.com/gpu-specs/grid-k160q.c2667,GK107,,Kepler,TSMC,28 nm,"1,270 million",118 mm²,"Jun 28th, 2013",,"GRID
(K1)",,,End-of-life,125 USD,,PCIe 3.0 x16,,,,,,"891 MHz
										
					1782 Mbps effective",1024 MB,DDR3,128 bit,28.51 GB/s,192,16,16,,,,16 KB (per SMX),256 KB,,3.400 GPixel/s,13.60 GTexel/s,,326.4 GFLOPS,13.60 GFLOPS (1:24),IGP,,,,130 W,300 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K180Q,https://www.techpowerup.com/gpu-specs/grid-k180q.c2668,GK107,,Kepler,TSMC,28 nm,"1,270 million",118 mm²,"Jun 28th, 2013",,"GRID
(K1)",,,End-of-life,125 USD,,PCIe 3.0 x16,,,,,,"891 MHz
										
					1782 Mbps effective",1024 MB,DDR3,128 bit,28.51 GB/s,192,16,16,,,,16 KB (per SMX),256 KB,,3.400 GPixel/s,13.60 GTexel/s,,326.4 GFLOPS,13.60 GFLOPS (1:24),IGP,,,,130 W,300 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K2,https://www.techpowerup.com/gpu-specs/grid-k2.c1700,GK104,GK104-895-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"May 11th, 2013",,"GRID
(K2)",,,End-of-life,"5,199 USD",,PCIe 3.0 x16,,,,,,"1250 MHz
										
					5 Gbps effective",4 GB,GDDR5,256 bit,160.0 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches",,,225 W,550 W,No outputs,1x 8-pin,,P2055,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K200,https://www.techpowerup.com/gpu-specs/grid-k200.c2490,GK104,,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Jun 28th, 2013",,"GRID
(K2)",,,End-of-life,235 USD,,PCIe 3.0 x16,,,,,,"1250 MHz
										
					5 Gbps effective",256 MB,GDDR5,256 bit,160.0 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),IGP,,,,225 W,550 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K240Q,https://www.techpowerup.com/gpu-specs/grid-k240q.c2489,GK104,,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Jun 28th, 2013",,"GRID
(K2)",,,End-of-life,469 USD,,PCIe 3.0 x16,,,,,,"1250 MHz
										
					5 Gbps effective",1024 MB,GDDR5,256 bit,160.0 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),IGP,,,,225 W,550 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K260Q,https://www.techpowerup.com/gpu-specs/grid-k260q.c2488,GK104,,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Jun 28th, 2013",,"GRID
(K2)",,,End-of-life,937 USD,,PCIe 3.0 x16,,,,,,"1250 MHz
										
					5 Gbps effective",2 GB,GDDR5,256 bit,160.0 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),IGP,,,,225 W,550 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K280Q,https://www.techpowerup.com/gpu-specs/grid-k280q.c2487,GK104,,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Jun 28th, 2013",,"GRID
(K2)",,,End-of-life,"1,875 USD",,PCIe 3.0 x16,,,,,,"1250 MHz
										
					5 Gbps effective",4 GB,GDDR5,256 bit,160.0 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),IGP,,,,225 W,550 W,No outputs,,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K340,https://www.techpowerup.com/gpu-specs/grid-k340.c2313,GK107,,Kepler,TSMC,28 nm,"1,270 million",118 mm²,"Jul 23rd, 2013",,"GRID
(K3)",,,End-of-life,"3,299 USD",,PCIe 3.0 x16,,,,,,"1250 MHz
										
					5 Gbps effective",1024 MB,GDDR5,128 bit,80.00 GB/s,384,32,16,,,,16 KB (per SMX),128 KB,,7.632 GPixel/s,30.53 GTexel/s,,732.7 GFLOPS,30.53 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches",,,225 W,550 W,No outputs,1x 8-pin,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GRID K520,https://www.techpowerup.com/gpu-specs/grid-k520.c2312,GK104,,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Jul 23rd, 2013",,"GRID
(K5)",,,End-of-life,"3,599 USD",,PCIe 3.0 x16,,,,,,"1250 MHz
										
					5 Gbps effective",4 GB,GDDR5,256 bit,160.0 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches",,,225 W,550 W,No outputs,1x 8-pin,,P2055 SKU 50,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce 505 OEM,https://www.techpowerup.com/gpu-specs/geforce-505-oem.c1998,GT218,GT218-300-B1,Tesla 2.0,TSMC,40 nm,260 million,57 mm²,"Jan 6th, 2013",,GeForce 500,GeForce 400,GeForce 600,End-of-life,,,PCIe 1.0 x16,,,,,,"600 MHz
										
					1200 Mbps effective",512 MB,DDR3,64 bit,9.600 GB/s,16,8,4,,,,,32 KB,,2.356 GPixel/s,4.712 GTexel/s,,44.86 GFLOPS,,Single-slot,"168 mm
					6.6 inches",,,25 W,200 W,1x DVI1x HDMI1x VGA,None,,P873,11.1 (10_1),3.3,1.1,N/A,,
NVIDIA GeForce 505 OEM,https://www.techpowerup.com/gpu-specs/geforce-505-oem.c2060,GT216,,Tesla 2.0,TSMC,40 nm,486 million,100 mm²,"Feb 17th, 2013",,GeForce 500,GeForce 400,GeForce 600,End-of-life,,,PCIe 1.0 x16,,,,,,"700 MHz
										
					1400 Mbps effective",1024 MB,DDR3,128 bit,22.40 GB/s,24,12,8,,,,,64 KB,,4.920 GPixel/s,7.380 GTexel/s,,49.49 GFLOPS,,Single-slot,"168 mm
					6.6 inches",,,25 W,200 W,1x DVI1x HDMI1x VGA,,,,11.1 (10_1),3.3,1.1,N/A,,
NVIDIA GeForce GT 625 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-625-oem.c2058,GF119,,Fermi 2.0,TSMC,40 nm,292 million,79 mm²,"Feb 18th, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,,,PCIe 2.0 x16,,,,,,"825 MHz
										
					1650 Mbps effective",1024 MB,DDR3,64 bit,13.20 GB/s,48,8,4,,,,64 KB (per SM),128 KB,,1.748 GPixel/s,6.992 GTexel/s,,167.8 GFLOPS,13.98 GFLOPS (1:12),Single-slot,"168 mm
					6.6 inches",,,29 W,200 W,1x DVI1x HDMI 1.3a,None,,,12 (11_0),4.6,1.1,N/A,,
NVIDIA GeForce GT 630 Rev. 2,https://www.techpowerup.com/gpu-specs/geforce-gt-630-rev-2.c2376,GK208,GK208-301-A1,Kepler 2.0,TSMC,28 nm,"1,020 million",87 mm²,"May 29th, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,,,PCIe 2.0 x8,,,,,,"900 MHz
										
					1800 Mbps effective",2 GB,DDR3,64 bit,14.40 GB/s,384,32,8,,,,16 KB (per SMX),512 KB,,7.216 GPixel/s,28.86 GTexel/s,,692.7 GFLOPS,28.86 GFLOPS (1:24),Single-slot,"145 mm
					5.7 inches",,,25 W,200 W,1x DVI1x HDMI 1.4a1x VGA,None,,P2132,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GT 630 Rev. 2 PCIe x8,https://www.techpowerup.com/gpu-specs/geforce-gt-630-rev-2-pcie-x8.c2396,GK208,GK208-301-A1,Kepler 2.0,TSMC,28 nm,"1,020 million",87 mm²,"May 29th, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,,,PCIe 2.0 x8,,,,,,"900 MHz
										
					1800 Mbps effective",2 GB,DDR3,64 bit,14.40 GB/s,384,32,8,,,,16 KB (per SMX),512 KB,,7.216 GPixel/s,28.86 GTexel/s,,692.7 GFLOPS,28.86 GFLOPS (1:24),Single-slot,"115 mm
					4.5 inches",,,25 W,200 W,1x DVI1x HDMI 1.4a1x VGA,None,,P2132,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GT 635 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-635-oem.c2041,GK208,,Kepler 2.0,TSMC,28 nm,"1,020 million",87 mm²,"Oct 1st, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,,,PCIe 3.0 x8,,,,,,"900 MHz
										
					1800 Mbps effective",1024 MB,DDR3,64 bit,14.40 GB/s,384,32,8,,,,16 KB (per SMX),512 KB,,7.736 GPixel/s,30.94 GTexel/s,,742.7 GFLOPS,30.94 GFLOPS (1:24),Single-slot,"145 mm
					5.7 inches",,,35 W,200 W,1x DVI1x HDMI 1.4a1x VGA,None,,P2130,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GT 640 Rev. 2,https://www.techpowerup.com/gpu-specs/geforce-gt-640-rev-2.c2377,GK208,GK208-400-A1,Kepler 2.0,TSMC,28 nm,"1,020 million",87 mm²,"May 29th, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,89 USD,,PCIe 2.0 x8,,,,,,"1252 MHz
										
					5 Gbps effective",1024 MB,GDDR5,64 bit,40.06 GB/s,384,32,8,,,,16 KB (per SMX),512 KB,,8.368 GPixel/s,33.47 GTexel/s,,803.3 GFLOPS,33.47 GFLOPS (1:24),Single-slot,"145 mm
					5.7 inches",,,49 W,200 W,1x DVI1x HDMI 1.4a1x VGA,None,,P2131,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 645 OEM,https://www.techpowerup.com/gpu-specs/geforce-gtx-645-oem.c2359,GK106,GK106-200-A1,Kepler,TSMC,28 nm,"2,540 million",221 mm²,"Apr 22nd, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,,,PCIe 3.0 x16,,,,,,"1000 MHz
										
					4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,576,48,16,,,,16 KB (per SMX),256 KB,,9.888 GPixel/s,39.55 GTexel/s,,949.2 GFLOPS,39.55 GFLOPS (1:24),Single-slot,"147 mm
					5.8 inches",,,65 W,250 W,1x DVI1x HDMI 1.4a1x DisplayPort 1.2,None,,P2010 SKU 20,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 650,https://www.techpowerup.com/gpu-specs/geforce-gtx-650.c2445,GK106,,Kepler,TSMC,28 nm,"2,540 million",221 mm²,"Nov 27th, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,,,PCIe 3.0 x16,17 in our database,,,,,"1250 MHz
										
					5 Gbps effective",1024 MB,GDDR5,128 bit,80.00 GB/s,384,32,16,,,,16 KB (per SMX),256 KB,,8.464 GPixel/s,33.86 GTexel/s,,812.5 GFLOPS,33.86 GFLOPS (1:24),Single-slot,"147 mm
					5.8 inches",,,65 W,250 W,1x DVI2x DisplayPort 1.2,1x 6-pin,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 650 Ti Boost,https://www.techpowerup.com/gpu-specs/geforce-gtx-650-ti-boost.c2059,GK106,GK106-240-A1,Kepler,TSMC,28 nm,"2,540 million",221 mm²,"Mar 26th, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,169 USD,,PCIe 3.0 x16,66 in our database,980 MHz,1032 MHz,,,"1502 MHz
										
					6 Gbps effective",2 GB,GDDR5,192 bit,144.2 GB/s,768,64,24,,,,16 KB (per SMX),384 KB,,16.51 GPixel/s,66.05 GTexel/s,,1.585 TFLOPS,66.05 GFLOPS (1:24),Dual-slot,"241 mm
					9.5 inches",,,134 W,300 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin,,P2030,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 650 Ti OEM,https://www.techpowerup.com/gpu-specs/geforce-gtx-650-ti-oem.c2301,GK106,,Kepler,TSMC,28 nm,"2,540 million",221 mm²,"Mar 31st, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,,,PCIe 3.0 x16,62 in our database,,,,,"1350 MHz
										
					5.4 Gbps effective",2 GB,GDDR5,128 bit,86.40 GB/s,768,64,16,,,,16 KB (per SMX),256 KB,,14.85 GPixel/s,59.39 GTexel/s,,"1,425 GFLOPS",59.39 GFLOPS (1:24),Single-slot,"145 mm
					5.7 inches",,,110 W,300 W,2x DVI1x mini-HDMI 1.4a,1x 6-pin,,P2030,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 680 Mac Edition,https://www.techpowerup.com/gpu-specs/geforce-gtx-680-mac-edition.c2323,GK104,GK104-400-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Apr 3rd, 2013",,GeForce 600,GeForce 500,GeForce 700,End-of-life,599 USD,,PCIe 2.0 x16,151 in our database,1006 MHz,1058 MHz,,,"1502 MHz
										
					6 Gbps effective",2 GB,GDDR5,256 bit,192.3 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,33.86 GPixel/s,135.4 GTexel/s,,3.250 TFLOPS,135.4 GFLOPS (1:24),Dual-slot,"254 mm
					10 inches",,,195 W,450 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,2x 6-pin,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 760,https://www.techpowerup.com/gpu-specs/geforce-gtx-760.c1857,GK104,GK104-225-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Jun 25th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,249 USD,,PCIe 3.0 x16,140 in our database,980 MHz,1032 MHz,,,"1502 MHz
										
					6 Gbps effective",2 GB,GDDR5,256 bit,192.3 GB/s,1152,96,32,,,,16 KB (per SMX),512 KB,,24.77 GPixel/s,99.07 GTexel/s,,2.378 TFLOPS,99.07 GFLOPS (1:24),Dual-slot,"241 mm
					9.5 inches",,,170 W,450 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,2x 6-pin,,P2004,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 760 OEM,https://www.techpowerup.com/gpu-specs/geforce-gtx-760-oem.c2455,GK104,GK104-200-KD-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Jun 27th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,,823 MHz,888 MHz,,,"1400 MHz
										
					5.6 Gbps effective",1536 MB,GDDR5,192 bit,134.4 GB/s,1152,96,24,,,,16 KB (per SMX),384 KB,,21.31 GPixel/s,85.25 GTexel/s,,2.046 TFLOPS,85.25 GFLOPS (1:24),Dual-slot,"241 mm
					9.5 inches",,,130 W,300 W,2x DVI1x HDMI 1.4a,1x 6-pin,,P2004,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 760 OEM Rebrand,https://www.techpowerup.com/gpu-specs/geforce-gtx-760-oem-rebrand.c2454,GK104,GK104-200-KD-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Aug 25th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,,823 MHz,888 MHz,,,"1400 MHz
										
					5.6 Gbps effective",3 GB,GDDR5,256 bit,179.2 GB/s,1152,96,32,,,,16 KB (per SMX),512 KB,,21.31 GPixel/s,85.25 GTexel/s,,2.046 TFLOPS,85.25 GFLOPS (1:24),Dual-slot,"241 mm
					9.5 inches",,,130 W,300 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin,,P2004,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 760 Ti OEM,https://www.techpowerup.com/gpu-specs/geforce-gtx-760-ti-oem.c2491,GK104,,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Sep 27th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,,915 MHz,980 MHz,,,"1502 MHz
										
					6 Gbps effective",2 GB,GDDR5,256 bit,192.3 GB/s,1344,112,32,,,,16 KB (per SMX),512 KB,,27.44 GPixel/s,109.8 GTexel/s,,2.634 TFLOPS,109.8 GFLOPS (1:24),Dual-slot,"241 mm
					9.5 inches",,,170 W,450 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,2x 6-pin,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 760 Ti OEM Rebrand,https://www.techpowerup.com/gpu-specs/geforce-gtx-760-ti-oem-rebrand.c2453,GK104,GK104-325-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Aug 25th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,,915 MHz,980 MHz,,,"1502 MHz
										
					6 Gbps effective",2 GB,GDDR5,256 bit,192.3 GB/s,1344,112,32,,,,16 KB (per SMX),512 KB,,27.44 GPixel/s,109.8 GTexel/s,,2.634 TFLOPS,109.8 GFLOPS (1:24),Dual-slot,"241 mm
					9.5 inches",,,170 W,450 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,2x 6-pin,,P2004,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 760 X2,https://www.techpowerup.com/gpu-specs/geforce-gtx-760-x2.c2521,GK104,GK104-225-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"Nov 19th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,140 in our database,1006 MHz,1072 MHz,,,"1502 MHz
										
					6 Gbps effective",2 GB,GDDR5,256 bit,192.3 GB/s,1152,96,32,,,,16 KB (per SMX),512 KB,,25.73 GPixel/s,102.9 GTexel/s,,2.470 TFLOPS,102.9 GFLOPS (1:24),Dual-slot,"279 mm
					11 inches",,,250 W,600 W,3x DVI1x mini-DisplayPort 1.2,2x 8-pin,,,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 770,https://www.techpowerup.com/gpu-specs/geforce-gtx-770.c1856,GK104,GK104-425-A2,Kepler,TSMC,28 nm,"3,540 million",294 mm²,"May 30th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,399 USD,,PCIe 3.0 x16,112 in our database,1046 MHz,1085 MHz,,,"1753 MHz
										
					7 Gbps effective",2 GB,GDDR5,256 bit,224.4 GB/s,1536,128,32,,,,16 KB (per SMX),512 KB,,34.72 GPixel/s,138.9 GTexel/s,,3.333 TFLOPS,138.9 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches","111 mm
					4.4 inches","38 mm
					1.5 inches",230 W,550 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin + 1x 8-pin,,P2005,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 780,https://www.techpowerup.com/gpu-specs/geforce-gtx-780.c1701,GK110,GK110-300-A1,Kepler,TSMC,28 nm,"7,080 million",561 mm²,"May 23rd, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,649 USD,,PCIe 3.0 x16,155 in our database,863 MHz,902 MHz,,,"1502 MHz
										
					6 Gbps effective",3 GB,GDDR5,384 bit,288.4 GB/s,2304,192,48,,,,16 KB (per SMX),1536 KB,,43.30 GPixel/s,173.2 GTexel/s,,4.156 TFLOPS,173.2 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches","111 mm
					4.4 inches","38 mm
					1.5 inches",250 W,600 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin + 1x 8-pin,,P2083 SKU 20,12 (11_0),4.6,3.0,1.1,,
NVIDIA GeForce GTX 780 6 GB,https://www.techpowerup.com/gpu-specs/geforce-gtx-780-6-gb.c2707,GK110B,GK110-301-B1,Kepler,TSMC,28 nm,"7,080 million",561 mm²,"Sep 10th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,155 in our database,863 MHz,902 MHz,,,"1502 MHz
										
					6 Gbps effective",6 GB,GDDR5,384 bit,288.4 GB/s,2304,192,48,,,,16 KB (per SMX),1536 KB,,43.30 GPixel/s,173.2 GTexel/s,,4.156 TFLOPS,173.2 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches","111 mm
					4.4 inches","38 mm
					1.5 inches",250 W,600 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin + 1x 8-pin,,P2083 SKU 25,12 (11_1),4.6,3.0,1.1,,
NVIDIA GeForce GTX 780 Rev. 2,https://www.techpowerup.com/gpu-specs/geforce-gtx-780-rev-2.c2513,GK110B,GK110-300-B1,Kepler,TSMC,28 nm,"7,080 million",561 mm²,"Sep 10th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,649 USD,,PCIe 3.0 x16,155 in our database,863 MHz,902 MHz,,,"1502 MHz
										
					6 Gbps effective",3 GB,GDDR5,384 bit,288.4 GB/s,2304,192,48,,,,16 KB (per SMX),1536 KB,,43.30 GPixel/s,173.2 GTexel/s,,4.156 TFLOPS,173.2 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches","111 mm
					4.4 inches","38 mm
					1.5 inches",250 W,600 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin + 1x 8-pin,,P2083 SKU 21,12 (11_1),4.6,3.0,1.1,,
NVIDIA GeForce GTX 780 Ti,https://www.techpowerup.com/gpu-specs/geforce-gtx-780-ti.c2512,GK110B,GK110-425-B1,Kepler,TSMC,28 nm,"7,080 million",561 mm²,"Nov 7th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,699 USD,,PCIe 3.0 x16,94 in our database,875 MHz,928 MHz,,,"1753 MHz
										
					7 Gbps effective",3 GB,GDDR5,384 bit,336.6 GB/s,2880,240,48,,,,16 KB (per SMX),1536 KB,,55.68 GPixel/s,222.7 GTexel/s,,5.345 TFLOPS,222.7 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches","111 mm
					4.4 inches","38 mm
					1.5 inches",250 W,600 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin + 1x 8-pin,,P2083 SKU 30,12 (11_1),4.6,3.0,1.1,,
NVIDIA GeForce GTX 780 Ti 6 GB,https://www.techpowerup.com/gpu-specs/geforce-gtx-780-ti-6-gb.c3302,GK110B,,Kepler,TSMC,28 nm,"7,080 million",561 mm²,Never Released,,GeForce 700,GeForce 600,GeForce 900,End-of-life,,,PCIe 3.0 x16,94 in our database,875 MHz,928 MHz,,,"1753 MHz
										
					7 Gbps effective",6 GB,GDDR5,384 bit,336.6 GB/s,2880,240,48,,,,16 KB (per SMX),1536 KB,,55.68 GPixel/s,222.7 GTexel/s,,5.345 TFLOPS,222.7 GFLOPS (1:24),Dual-slot,"267 mm
					10.5 inches","111 mm
					4.4 inches","38 mm
					1.5 inches",250 W,600 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin + 1x 8-pin,,P2083 SKU 30,12 (11_1),4.6,3.0,1.1,,
NVIDIA GeForce GTX TITAN,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan.c1996,GK110,GK110-400-A1,Kepler,TSMC,28 nm,"7,080 million",561 mm²,"Feb 19th, 2013",,GeForce 700,GeForce 600,GeForce 900,End-of-life,999 USD,,PCIe 3.0 x16,45 in our database,836 MHz,876 MHz,,,"1502 MHz
										
					6 Gbps effective",6 GB,GDDR5,384 bit,288.4 GB/s,2688,224,48,,,,16 KB (per SMX),1536 KB,,49.06 GPixel/s,196.2 GTexel/s,,4.709 TFLOPS,1.570 TFLOPS (1:3),Dual-slot,"267 mm
					10.5 inches","111 mm
					4.4 inches","38 mm
					1.5 inches",250 W,600 W,2x DVI1x HDMI 1.4a1x DisplayPort 1.2,1x 6-pin + 1x 8-pin,,P2083 SKU 10,12 (11_0),4.6,3.0,1.1,,
NVIDIA NVS 315,https://www.techpowerup.com/gpu-specs/nvs-315.c2147,GF119,GF119-825-A1,Fermi 2.0,TSMC,40 nm,292 million,79 mm²,"Mar 10th, 2013",,NVS,,,End-of-life,159 USD,,PCIe 2.0 x16,26 in our database,,,,,"875 MHz
										
					1750 Mbps effective",1024 MB,DDR3,64 bit,14.00 GB/s,48,8,4,,,,64 KB (per SM),128 KB,,1.046 GPixel/s,4.184 GTexel/s,,100.4 GFLOPS,8.368 GFLOPS (1:12),Single-slot,"145 mm
					5.7 inches",,,19 W,200 W,1x DMS-59,None,,,12 (11_0),4.6,1.1,N/A,,
